!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
"ignore	"IGNORE
kadia	KADIA
kadiadara	KADIADARA
kadod	KADOD
kadri	KADRI
kadu	KADU
kafir	KAFIR
kafka	KAFKA
kag	KAG
kahlil	KAHLIL
kahwah	KAHWAH
kaif	KAIF
kaikeyi	KAIKEYI
kailali	KAILALI
kailasanathar	KAILASANATHAR
kailash	KAILASH
kailashpati	KAILASHPATI
kaimur	KAIMUR
kaithal	KAITHAL
kaji	KAJI
kajita	KAJITA
kajol	KAJOL
kaju	KAJU
kak	KAK
kaka	KAKA
kakar,	KAKAR,
kakinada	KAKINADA
kakodkar	KAKODKAR
kakori	KAKORI
kakrapar	KAKRAPAR
kala	KALA
kalachuri	KALACHURI
kalakaar!	KALAKAAR!
kalali,	KALALI,
kalam	KALAM
kalapi	KALAPI
kalaram	KALARAM
kalaratri	KALARATRI
kalasha	KALASHA
kalavad	KALAVAD
kaldurg	KALDURG
kalelkar	KALELKAR
kaleshwari	KALESHWARI
kali	KALI
kalidas	KALIDAS
kalika	KALIKA
kalikot	KALIKOT
kalimpong	KALIMPONG
kalindi	KALINDI
kalinga	KALINGA
kaliyari	KALIYARI
kalka–shimla	KALKA–SHIMLA
kalki	KALKI
kallis	KALLIS
kalmar	KALMAR
kalo	KALO
kalol	KALOL
kalol,	KALOL,
kalpana	KALPANA
kalpana-1	KALPANA 1
kalpasar	KALPASAR
kalpeshwar	KALPESHWAR
kalubhar	KALUBHAR
kalupur	KALUPUR
kalwan	KALWAN
kalyanji–anandji	KALYANJI–ANANDJI
kalyanpur	KALYANPUR
kama	KAMA
kamada	KAMADA
kamala	KAMALA
kamarpukur	KAMARPUKUR
kamarupa	KAMARUPA
kambampati	KAMBAMPATI
kambli	KAMBLI
kamboh	KAMBOH
kamboi	KAMBOI
kamdhenu	KAMDHENU
kameng	KAMENG
kamgar	KAMGAR
kamini	KAMINI
kamla	KAMLA
kamlashankar	KAMLA SHANKAR
kamlesh	KAMLESH
kamleshwar	KAMLESHWAR
kampa	KAMPA
kamrej	KAMREJ
kamru,	KAMRU,
kamrup	KAMRUP
kamsa	KAMSA
kamte	KAMTE
kanaiyalal	KANAIYALAL
kanaji	KANAJI
kanakiya	KANAKIYA
kanatal	KANATAL
kanavadala	KANAVADALA
kanchan	KANCHAN
kanchanpur	KANCHANPUR
kanchi	KANCHI
kanchipuram	KANCHIPURAM
kanda	KANDA
kandaghat	KANDA GHAT
kandahar	KANDAHAR
kandhlawi	KANDHLAWI
kandivali	KANDIVALI
kandla	KANDLA
kandorna	KANDORNA
kandy	KANDY
kaneri	KANERI
kanesue	KANESUE
kangaroo	KANGAROO
kangchenjunga	KANGCHENJUNGA
kanger	KANGER
kangra	KANGRA
kangra,	KANGRA,
kangri	KANGRI
kanhaiyalal	KANHAIYALAL
kanheri	KANHERI
kanhoji	KANHOJI
kanishka	KANISHKA
kanji	KANJI
kanjibhai	KANJI BHAI
kanjira	KANJIRA
kanjy	KANJY
kankaria	KANKARIA
kankawati	KANKAWATI
kanker	KANKER
kanker,	KANKER,
kanku	KANKU
kanmer	KANMER
kannada	KANNADA
kannauj	KANNAUJ
kannauji	KANNAUJI
kannur	KANNUR
kanodar	KANODAR
kanodia	KANODIA
kanoj	KANOJ
kanpariya	KANPARIYA
kanpur	KANPUR
kansar	KANSAR
kansas	KANSAS
kant	KANT
kanta	KANTA
kantharia	KANTHARIA
kanthkot	KANTHKOT
kanti	KANTI
kanu	KANU
kanungo	KANUNGO
kanva	KANVA
kanyakumari	KANYAKUMARI
kaolinite	KAOLINITE
kapadia	KAPADIA
kapadvanj	KAPADVANJ
kapalabhati	KAPALABHATI
kaparada	KAPARADA
kapil	KAPIL
kapila	KAPILA
kapilvastu	KAPILVASTU
kapoor	KAPOOR
kapur	KAPUR
kapurthala	KAPURTHALA
kara	KARA
karachi	KARACHI
karad	KARAD
karadiya	KARADIYA
karakoram	KARAKORAM
karam	KARAM
karamsad	KARAMSAD
karamshi	KARAMSHI
karan	KARAN
karate	KARATE
karauli	KARAULI
karbi	KARBI
karchelia	KARCHELIA
kare	KARE
kareena	KAREENA
kareshwar	KARESHWAR
kargil	KARGIL
kariana	KARIANA
karim	KARIM
karimganj	KARIMGANJ
karimnagar	KARIM NAGAR
karjan	KARJAN
karkare	KARKARE
karkat	KARKAT
karl	KARL
karma	KARMA
karmanasa	KARMA NASA
karna	KARNA
karnal	KARNAL
karnala	KARNALA
karnali	KARNALI
karnaprayag	KARNA PRAYAG
karnataka	KARNATAKA
karni	KARNI
karol,	KAROL,
karsan	KARSAN
karsanbhai	KARSAN BHAI
karsandas	KARSANDAS
kartavya	KARTAVYA
karthikeyan	KARTHIKEYAN
kartik	KARTIK
kartikeya	KARTIKEYA
karur	KARUR
karwar	KARWAR
kasar	KASAR
kasara,	KASARA,
kasaragod	KASARAGOD
kasaravalli	KASARAVALLI
kasganj	KASGANJ
kashi	KASHI
kashiram	KASHIRAM
kashmir	KASHMIR
kashmiri	KASHMIRI
kashyapa	KASHYAPA
kasirbot	KASIRBOT
kaski	KASKI
kasol	KASOL
kasturba	KASTURBA
kasturbhai	KASTURBHAI
katar	KATAR
katargam	KATARGAM
katariya,	KATARIYA,
katary	KATARY
katas	KATAS
kate	KATE
kathak	KATHAK
kathakali	KATHAKALI
kathgodam	KATHGODAM
kathiawar	KATHIAWAR
kathiawari	KATHIAWARI
kathmandu	KATHMANDU
kathor	KATHOR
kathrada	KATHRADA
kathua	KATHUA
katihar	KATIHAR
katli	KATLI
katni	KATNI
katra,	KATRA,
katraj	KATRAJ
katrina	KATRINA
kaur	KAUR
kaurava	KAURAVA
kausalya	KAUSALYA
kausar	KAUSAR
kaushal	KAUSHAL
kaushambi	KAUSHAMBI
kaushik	KAUSHIK
kaustubha	KAUSTUBHA
kava,	KAVA,
kavat	KAVAT
kavi	KAVI
kaviraja	KAVI RAJA
kavita	KAVITA
kavrepalanchok	KAVREPALANCHOK
kawardha	KAWARDHA
kayavarohan	KAYAVAROHAN
kayla	KAYLA
kaylana	KAYLANA
kaza,	KAZA,
kazakh	KAZAKH
kazakhstan	KAZAKHSTAN
kazhagam/meta/color	KAZHAGAM/META/COLOR
kaziranga	KAZIRANGA
kcom	KCOM
kedar	KEDAR
kedarkantha	KEDARKANTHA
kedarnath	KEDAR NATH
keeping	KEEPING
keller	KELLER
kelovy	KELOVY
kelvin	KELVIN
kemal	KEMAL
ken	KEN
kendra	KENDRA
kendrapara	KENDRA PARA
kendujhar	KENDUJHAR
kentucky	KENTUCKY
kenya	KENYA
keoladeo	KEOLADEO
keorapetse	KEORAPETSE
kepler-452b	KEPLER 452B
kera	KERA
kera,	KERA,
kerala	KERALA
kerala-no-dhoro	KERALA NO DHORO
keri	KERI
kerwada	KERWADA
kesar	KESAR
kesari	KESARI
keshav	KESHAV
keshavlal	KESHAVLAL
keshavram	KESHAVRAM
keshgarh	KESHGARH
keshod	KESHOD
keshubhai	KESHUBHAI
kesimpa,	KESIMPA,
ketan	KETAN
kettle	KETTLE
kevala	KEVALA
kevi	KEVI
key	KEY
keyboard	KEYBOARD
keys	KEY +(s)
kg	KG
kgositsile	KGOSITSILE
khab	KHAB
khabardar	KHABARDAR
khachar	KHACHAR
khadi	KHADI
khadia,	KHADIA,
khadiya	KHADIYA
khadotiya	KHADOTIYA
khagaria	KHAGARIA
khaja	KHAJA
khajrana	KHAJRANA
khajuraho	KHAJURAHO
khakharechi	KHAKHARECHI
khakhra	KHAKHRA
khalifa	KHALIFA
khalilabad,	KHALILABAD,
khalji	KHALJI
khalkhalio	KHALKHALIO
khalsa	KHALSA
khaman	KHAMAN
khambatta	KHAMBATTA
khambhalida	KHAMBHALIDA
khambhat	KHAMBHAT
khambhra	KHAMBHRA
khambon	KHAMBON
khammam	KHAMMAM
khan	KHAN
khan's	KHAN'S
khan-i-khana	KHAN I KHANA
khanbot	KHANBOT
khandala	KHANDALA
khandavaprastha	KHANDAVAPRASTHA
khanderao	KHANDERAO
khanderi	KHANDERI
khanderia	KHANDERIA
khandesh	KHANDESH
khandvi	KHANDVI
khandwa	KHANDWA
khandwala	KHANDWALA
khanna	KHANNA
khanpar	KHANPAR
khant	KHANT
kharaghoda	KHARAGHODA
kharan	KHARAN
khare	KHARE
kharghar	KHARGHAR
khargone	KHARGONE
khari	KHARI
khariboli	KHARIBOLI
kharif	KHARIF
kharod	KHAROD
kharod,	KHAROD,
kharsani	KHARSANI
kharsawan	KHARSAWAN
kharwa	KHARWA
khasi	KHASI
khatri	KHATRI
khavda	KHAVDA
khecarī	KHECARĪ
kheda	KHEDA
khedbrahma	KHEDBRAHMA
khedoi	KHEDOI
kheer	KHEER
khengara	KHENGARA
kherali	KHERALI
kheralu	KHERALU
khergam	KHERGAM
kheri	KHERI
kherva	KHERVA
khesar	KHESAR
khetarpal	KHETARPAL
khichdi	KHICHDI
khichu	KHICHU
khijadiya	KHIJADIYA
khijadiya,	KHIJADIYA,
khilavad	KHILAVAD
khirasara	KHIRASARA
khirokitia	KHIROKITIA
khirsu	KHIRSU
khliehriat	KHLIEHRIAT
khmer	KHMER
khmer-language	KHMER LANGUAGE
khodiyar	KHODIYAR
khokhra	KHOKHRA
khonds	KHONDS
khopala	KHOPALA
khorana	KHORANA
khordha	KHORDHA
khumalo	KHUMALO
khusrow	KHUSROW
ki	KI
kia	KIA
kibber	KIBBER
kichaka	KICHAKA
killings	KILLINGS
kim	KIM
kinariwala	KINARIWALA
kindergarten	KINDERGARTEN
kindness	KINDNESS
king	KING
kingdom	KINGDOM
kingfisher	KINGFISHER
kings	KING +(s)
kingsley	KINGSLEY
kinloch	KINLOCH
kinnaur	KINNAUR
kiphire	KIPHIRE
kipling	KIPLING
kiran	KIRAN
kirghiz	KIRGHIZ
kiribati	KIRIBATI
kirmani	KIRMANI
kirsten	KIRSTEN
kirtan	KIRTAN
kirti	KIRTI
kisan	KISAN
kishan	KISHAN
kishanganj	KISHAN GANJ
kishibhai	KISHIBHAI
kishkindha	KISHKINDHA
kishore	KISHORE
kissa	KISSA
kit	KIT
kitchen	KITCHEN
kite	KITE
klan	KLAN
klum	KLUM
klux	KLUX
km	KM
kn	KN
knights	KNIGHTS
knockout	KNOCKOUT
knowledge	KNOWLEDGE
ko	KO
koavf	KOAVF
koch	KOCH
kochi	KOCHI
kochrab	KOCHRAB
kodagu	KODAGU
kodaikanal	KODAIKANAL
koderma	KODERMA
kodiak	KODIAK
kodinar	KODINAR
kodiya	KODIYA
kodki	KODKI
koel	KOEL
kohima	KOHIMA
kohl	KOHL
kohli	KOHLI
kokrajhar	KOKRAJHAR
kola	KOLA
kolaba	KOLABA
kolak	KOLAK
kolar	KOLAR
kolasib	KOLASIB
kolega2357	KOLEGA2357
kolhapur	KOLHAPUR
koli	KOLI
kolibrios	KOLIBRIOS
kolkata	KOLKATA
kollam	KOLLAM
koloriang	KOLORIANG
kolvi	KOLVI
kom	KOM
konark	KONARK
kondi	KONDI
kong	KONG
konkan	KONKAN
konkani	KONKANI
koppal	KOPPAL
koraput	KORAPUT
korba	KORBA
korba,	KORBA,
korea	KOREA
korean	KOREAN
koregaon	KOREGAON
kori	KORI
koriya	KORIYA
korn	KORN
kosad	KOSAD
kosamba	KOSAMBA
kosambi	KOSAMBI
koshi	KOSHI
kosi	KOSI
kot	KOT
kota	KOTA
kota,	KOTA,
kotai	KOTAI
kotak	KOTAK
koteshwar,	KOTESHWAR,
koth,	KOTH,
kothara,	KOTHARA,
kothari	KOTHARI
kotharia,	KOTHARIA,
kottayam	KOTTAYAM
koul	KOUL
kournikova	KOURNIKOVA
kovaya	KOVAYA
kovind	KOVIND
koyna	KOYNA
kozhikode	KOZHIKODE
końskowola	KOŃSKOWOLA
kripa	KRIPA
krishak	KRISHAK
krishan	KRISHAN
krishna	KRISHNA
krishnadasa	KRISHNA DASA
krishnagiri	KRISHNA GIRI
krishnalal	KRISHNALAL
krishnamachari	KRISHNAMACHARI
krishnamurti	KRISHNA MURTI
krishnas	KRISHNA +(s)
krishnavatara	KRISHNAVATARA
kritavarma	KRITAVARMA
krypton	KRYPTON
kshamavani	KSHAMAVANI
kshatriya	KSHATRIYA
ku	KU
kuan	KUAN
kubera	KUBERA
kuchaikote	KUCHAIKOTE
kuchipudi	KUCHIPUDI
kufri,	KUFRI,
kukarmunda	KUKARMUNDA
kukma	KUKMA
kuldhara	KULDHARA
kuldip	KULDIP
kulkarni	KULKARNI
kullu	KULLU
kumaon	KUMAON
kumaoni	KUMAONI
kumar	KUMAR
kumarapala	KUMARAPALA
kumari	KUMARI
kumarpal	KUMARPAL
kumarsinhji	KUMARSINHJI
kumbh	KUMBH
kumbhakarna	KUMBHAKARNA
kumbhalgarh	KUMBHALGARH
kumbharia	KUMBHARIA
kumbhariya,	KUMBHARIYA,
kumbharli	KUMBHARLI
kumey	KUMEY
kunal	KUNAL
kund	KUND
kundanika	KUNDANIKA
kundla	KUNDLA
kune	KUNE
kunj	KUNJ
kuntasi	KUNTASI
kunthunatha	KUNTHUNATHA
kunti	KUNTI
kupwara	KUPWARA
kuranda	KURANDA
kurien	KURIEN
kurnool	KURNOOL
kursi	KURSI
kursura	KURSURA
kurta	KURTA
kurukshetra	KURUKSHETRA
kurung	KURUNG
kusha	KUSHA
kushadhwaja	KUSHADHWAJA
kushinagar	KUSHINAGAR
kushmanda	KUSHMANDA
kushok	KUSHOK
kusumamala	KUSUMAMALA
kutch	KUTCH
kutchi	KUTCHI
kutchkutch	KUTCH KUTCH
kutiyana	KUTIYANA
kuvo	KUVO
kuwait	KUWAIT
kya	KYA
kyelang	KYELANG
kyrgyzstan	KYRGYZSTAN
kālidāsa	KĀLIDĀSA
kātyāyanī	KĀTYĀYANĪ
kōtoku-in	KŌTOKU IN
l'aviation	L'AVIATION
l.	L.
la	LA
label	LABEL
labelled	LABELLED
labhshankar	LABHSHANKAR
lablab	LABLAB
laboratories	LABORATORIES
laboratory	LABORATORY
labour	LABOUR
labrador	LABRADOR
lachhiwala	LACHHIWALA
lachit	LACHIT
ladakh	LADAKH
ladakhi	LADAKHI
ladders	LADDERS
laddu	LADDU
ladol,	LADOL,
lady	LADY
lagoon	LAGOON
lagos	LAGOS
lagyo	LAGYO
lahaul	LAHAUL
lahore	LAHORE
laishram	LAISHRAM
lajpat	LAJPAT
lakadiya	LAKADIYA
lake	LAKE
lakes	LAKE +(s)
lakh	LAKH
lakhamandal	LAKHAMANDAL
lakhandei	LAKHANDEI
lakhapadar	LAKHAPADAR
lakhimpur	LAKHIMPUR
lakhisarai	LAKHISARAI
lakhmi	LAKHMI
lakhpat	LAKHPAT
lakhtar	LAKHTAR
lakkundi	LAKKUNDI
lakshadweep	LAKSHADWEEP
lakshagraha	LAKSHAGRAHA
lakshamana	LAKSHAMANA
lakshman	LAKSHMAN
lakshmana	LAKSHMANA
lakshmeshwara	LAKSHMESHWARA
lakshmi	LAKSHMI
lakulish	LAKULISH
lal	LAL
lala	LALA
lalbhai	LALBHAI
lalgarh	LALGARH
lalitpur	LALITPUR
lalitpur,	LALITPUR,
lalji	LALJI
lambha	LAMBHA
lamborghini	LAMBORGHINI
lamjung	LAMJUNG
lampard	LAMPARD
lamphelpat	LAMPHELPAT
lan	LAN
land	LAND
landforms	LAND FORMS
lands	LAND +(s)
landslide	LANDSLIDE
landsteiner	LANDSTEINER
lane	LANE
lang	LANG
lang-ab	LANG AB
lang-am	LANG AM
lang-ar	LANG AR
lang-az	LANG AZ
lang-bn	LANG BN
lang-bo	LANG BO
lang-de	LANG DE
lang-dv	LANG DV
lang-el	LANG EL
lang-en	LANG EN
lang-es	LANG ES
lang-fa	LANG FA
lang-fi	LANG FI
lang-fil	LANG FIL
lang-fr	LANG FR
lang-grc-gre	LANG GRC GRE
lang-gu	LANG GU
lang-he	LANG HE
lang-hi	LANG HI
lang-hy	LANG HY
lang-id	LANG ID
lang-ja	LANG JA
lang-km	LANG KM
lang-kn	LANG KN
lang-ky	LANG KY
lang-la	LANG LA
lang-lo	LANG LO
lang-ml	LANG ML
lang-mol	LANG MOL
lang-mr	LANG MR
lang-my	LANG MY
lang-ne	LANG NE
lang-nl	LANG NL
lang-or	LANG OR
lang-pa	LANG PA
lang-ps	LANG PS
lang-rn	LANG RN
lang-rom	LANG ROM
lang-ru	LANG RU
lang-rw	LANG RW
lang-sa	LANG SA
lang-sd	LANG SD
lang-se	LANG SE
lang-si	LANG SI
lang-sw	LANG SW
lang-ta	LANG TA
lang-te	LANG TE
lang-tg	LANG TG
lang-th	LANG TH
lang-tk	LANG TK
lang-tr	LANG TR
lang-uz	LANG UZ
lang-yi	LANG YI
lang-zh	LANG ZH
lang/data	LANG/DATA
lang/documentor	LANG/DOCUMENTOR
lang/iso	LANG/ISO
langhnaj	LANGHNAJ
langkawi	LANGKAWI
language	LANGUAGE
language/codelist	LANGUAGE/CODELIST
language/data/iana	LANGUAGE/DATA/IANA
language/data/iso	LANGUAGE/DATA/ISO
language/data/wp	LANGUAGE/DATA/WP
language/family-color	LANGUAGE/FAMILY COLOR
language/genetic	LANGUAGE/GENETIC
language/language	LANGUAGE/LANGUAGE
language/linguistlist	LANGUAGE/LINGUISTLIST
language/name/data	LANGUAGE/NAME/DATA
language/notes	LANGUAGE/NOTES
language/quilt	LANGUAGE/QUILT
language/ref	LANGUAGE/REF
languages	LANGUAGE +(s)
langur	LANGUR
lanka	LANKA
lankan	LANKAN
lansdowne,	LANSDOWNE,
lanthanum	LANTHANUM
lanzan	LANZAN
laos	LAOS
laozi	LAOZI
lapasari	LAPASARI
lara	LARA
large-billed	LARGE BILLED
larger	LARGER
laridae	LARIDAE
lark	LARK
larry	LARRY
las	LAS
laser	LASER
lasius	LASIUS
lata	LATA
latehar	LATEHAR
lath,	LATH,
lathi,	LATHI,
latif	LATIF
latin	LATIN
latin-language	LATIN LANGUAGE
latur	LATUR
latvia	LATVIA
latvian	LATVIAN
launch	LAUNCH
laureates	LAUREATES
lava	LAVA
lavani	LAVANI
lavji	LAVJI
lavkumar	LAVKUMAR
law	LAW
lawngtlai	LAWNGTLAI
lawrencium	LAWRENCIUM
laxman	LAXMAN
laxmi	LAXMI
layal	LAYAL
layer	LAYER
layout	LAYOUT
lead	LEAD
leader	LEADER
league	LEAGUE
leaning	LEANING
leap	LEAP
least	LEAST
least-concern	LEAST CONCERN
leatherback	LEATHERBACK
lebanon	LEBANON
ledger	LEDGER
ledo	LEDO
lee	LEE
leeds	LEEDS
leela	LEELA
leena	LEENA
left	LEFT
left/coast	LEFT/COAST
leg	LEG
legend	LEGEND
legend0	LEGEND0
legislative	LEGISLATIVE
legislature	LEGISLATURE
lego	LEGO
legume	LEGUME
legumes	LEGUME +(s)
leh	LEH
leicester	LEICESTER
leinster	LEINSTER
leishmaniasis	LEISHMANIASIS
leithii	LEITHII
leleti	LELETI
lemon	LEMON
len	LEN
len/core	LEN/CORE
lengpui	LENGPUI
lenin	LENIN
lentil	LENTIL
leo	LEO
leonardo	LEONARDO
leone	LEONE
leopard	LEOPARD
leprosy	LEPROSY
leptospirosis	LEPTOSPIROSIS
lesotho	LESOTHO
lethal	LETHAL
letter/trim	LETTER/TRIM
letters	LETTERS
leva	LEVA
level	LEVEL
levels	LEVEL +(s)
león	LEÓN
li	LI
libel	LIBEL
liberia	LIBERIA
liberty	LIBERTY
libra	LIBRA
library	LIBRARY
libya	LIBYA
license	LICENSE
license,	LICENSE,
liechtenstein	LIECHTENSTEIN
lien	LIEN
lies	LIES
life	LIFE
lifetime	LIFE TIME
light	LIGHT
light-year	LIGHT YEAR
lighthouse	LIGHT HOUSE
lighthouses	LIGHTHOUSE +(s)
lilapur,	LILAPUR,
lillee	LILLEE
limbdi	LIMBDI
limbhoi	LIMBHOI
limbo	LIMBO
limbuda	LIMBUDA
limburg	LIMBURG
limetta	LIMETTA
limit	LIMIT
limited	LIMITED
limkheda	LIMKHEDA
line	LINE
lines	LINE +(s)
lingaraja	LINGARAJA
link	LINK
link/core	LINK/CORE
link/normal	LINK/NORMAL
link/relative	LINK/RELATIVE
link/secure	LINK/SECURE
link/text	LINK/TEXT
links	LINK +(s)
linktext	LINK TEXT
linus	LINUS
linux	LINUX
lion	LION
lipid	LIPID
lipstick	LIPSTICK
lipulekh	LIPULEKH
liquid	LIQUID
liquid-crystal	LIQUID CRYSTAL
list	LIST
list-style-type	LIST STYLE TYPE
list/entry	LIST/ENTRY
listen	LISTEN
listing	LISTING
lists	LIST +(s)
lit-stub	LIT STUB
literacy	LITERACY
literature	LITERATURE
lithium	LITHIUM
lithuania	LITHUANIA
lithuanian	LITHUANIAN
litmus	LITMUS
liton	LITON
little	LITTLE
liverpool	LIVERPOOL
living	LIVING
lixer	LIXER
liège	LIÈGE
loans	LOANS
local	LOCAL
location	LOCATION
locho	LOCHO
lock	LOCK
locomotion	LOCOMOTION
locomotive	LOCOMOTIVE
lodge	LODGE
lodi	LODI
loftus	LOFTUS
logicwiki	LOGICWIKI
logos	LOGOS
logp	LOGP
lohana	LOHANA
lohardaga	LOHARDAGA
lohia	LOHIA
lohit	LOHIT
lok	LOK
lokanatha	LOKANATHA
lokhande	LOKHANDE
lonar	LONAR
lonavla	LONAVLA
london	LONDON
long	LONG
longewala	LONGEWALA
longifolia	LONGIFOLIA
longifrons	LONGIFRONS
longitem	LONG ITEM
longleng	LONGLENG
longlisted	LONGLISTED
lookup	LOOKUP
loop	LOOP
lordship	LORDSHIP
lorem	LOREM
los	LOS
loss	LOS +(s)
lota	LOTA
loteshwar	LOTESHWAR
lothal	LOTHAL
lotus	LOTUS
louis	LOUIS
louise	LOUISE
louisiana	LOUISIANA
love	LOVE
lovji	LOVJI
lovysinghal	LOVYSINGHAL
lower	LOWER
lowercase	LOWER CASE
lt	LT
ltd.	LTD.
lua	LUA
lucien	LUCIEN
luckas-bot	LUCKAS BOT
lucknow	LUCKNOW
lucpol	LUCPOL
ludhiana	LUDHIANA
lug	LUG
luhar	LUHAR
luis	LUIS
lumbini	LUMBINI
lunar	LUNAR
lunavada	LUNAVADA
lunej	LUNEJ
lung	LUNG
lunglei	LUNGLEI
luni	LUNI
lutetium	LUTETIUM
luther	LUTHER
lux	LUX
luxembourg	LUXEMBOURG
lv	LV
lx	LX
lychee	LYCHEE
lymph	LYMPH
lyricist	LYRICIST
lytov	LYTOV
lzh	LZH
løve	LØVE
m.	M.
maa	MAA
maas	MAA +(s)
mabifixem	MABIFIXEM
macaque	MACAQUE
macau	MACAU
macedonia	MACEDONIA
machchhu	MACHCHHU
machchundri	MACHCHUNDRI
machhlivad	MACHHLIVAD
machilipatnam	MACHILIPATNAM
machine	MACHINE
machu	MACHU
macmurdo's	MACMURDO'S
macrocarpus	MACROCARPUS
macrolepis	MACROLEPIS
macrotyloma	MACROTYLOMA
macwan	MACWAN
mada	MADA
madagascar	MADAGASCAR
madakari	MADAKARI
madame	MADAME
madan	MADAN
madanna	MADANNA
madeira	MADEIRA
madh	MADH
madhapar	MADHAPAR
madhav	MADHAV
madhava	MADHAVA
madhavav	MADHAVAV
madhavpur	MADHAVPUR
madhavsinh	MADHAVSINH
madhepura	MADHEPURA
madhmeshwar	MADHMESHWAR
madhopur	MADHOPUR
madhu	MADHU
madhubala	MADHUBALA
madhubani	MADHU BANI
madhubani,	MADHUBANI,
madhubhai	MADHU BHAI
madhuca	MADHUCA
madhuri	MADHURI
madhusudan	MADHU SUDAN
madhya	MADHYA
madhyamaheshwar	MADHYAMAHESHWAR
madia	MADIA
madikeri	MADIKERI
madras	MADRAS
madri	MADRI
madurai	MADURAI
maenam	MAENAM
mafat	MAFAT
mafatlal	MAFATLAL
magadh	MAGADH
magahi	MAGAHI
magaj	MAGAJ
magazine	MAGAZINE
magazines	MAGAZINE +(s)
magdalla	MAGDALLA
magderu	MAGDERU
magh	MAGH
maghval	MAGHVAL
magic	MAGIC
magnesium	MAGNESIUM
magnetic	MAGNETIC
magnitude	MAGNITUDE
magnolia	MAGNOLIA
magod	MAGOD
magodi	MAGODI
magpie-robin	MAGPIE ROBIN
maha	MAHA
mahabaleshwar	MAHA BALESHWAR
mahabat	MAHABAT
mahabharata	MAHABHARATA
mahabodhi	MAHABODHI
mahadeo	MAHADEO
mahadev	MAHADEV
mahadevan	MAHADEVAN
mahadevi	MAHA DEVI
mahagauri	MAHA GAURI
mahagujarat	MAHA GUJARAT
mahajan	MAHAJAN
mahakaleshwar	MAHAKALESHWAR
mahakali	MAHAKALI
mahal	MAHAL
mahalakshmi	MAHA LAKSHMI
mahalaya	MAHALAYA
mahanadi	MAHANADI
mahaprabhu	MAHAPRABHU
mahar	MAHAR
maharaj	MAHARAJ
maharaja	MAHA RAJA
maharajganj	MAHARAJ GANJ
maharana	MAHA RANA
maharashtra	MAHARASHTRA
maharashtrian	MAHARASHTRIAN
maharishi	MAHARISHI
mahasamund	MAHASAMUND
mahasweta	MAHASWETA
mahatma	MAHATMA
mahavir	MAHAVIR
mahavira	MAHAVIRA
mahbubnagar	MAHBUBNAGAR
mahdibot	MAHDIBOT
mahemdavad	MAHEMDAVAD
mahendragarh	MAHENDRAGARH
mahendralal	MAHENDRALAL
mahesh	MAHESH
mahi	MAHI
mahidharpura	MAHIDHARPURA
mahindra	MAHINDRA
mahipati	MAHIPATI
mahipatram	MAHIPATRAM
mahisa	MAHISA
mahisagar	MAHI SAGAR
mahishasura	MAHISHASURA
mahishmati	MAHISHMATI
mahmud	MAHMUD
mahoba	MAHOBA
mahobatpara	MAHOBATPARA
mahrajganj,	MAHRAJGANJ,
mahudha	MAHUDHA
mahudi	MAHUDI
mahuli	MAHULI
mahuva,	MAHUVA,
mahuvar	MAHUVAR
mahé	MAHÉ
mahé,	MAHÉ,
maidan	MAIDAN
maidens	MAIDENS
mail	MAIL
main	MAIN
maine	MAINE
mainpuri	MAIN PURI
maintenance	MAINTENANCE
maio	MAIO
maithili	MAITHILI
maitraka	MAITRAKA
maize	MAIZE
majhalumi	MAJHALUMI
majilpur	MAJILPUR
majlis-e-ittehadul	MAJLIS E ITTEHADUL
major	MAJOR
majuli	MAJULI
majumdar	MAJUMDAR
makaji	MAKAJI
makar	MAKAR
makarand	MAKARAND
makardhwaja	MAKARDHWAJA
makecat	MAKECAT
makemake	MAKEMAKE
makhanlal	MAKHANLAL
makhdoom	MAKHDOOM
makkhali	MAKKHALI
makli	MAKLI
makrani	MAKRANI
maktampur	MAKTAMPUR
maktupur	MAKTUPUR
mal	MAL
mala	MALA
malabar	MALABAR
malabari	MALABARI
malad	MALAD
malala	MALALA
malan	MALAN
malappuram	MALAPPURAM
malaria	MALARIA
malaviya	MALAVIYA
malawi	MALAWI
malayalam	MALAYALAM
malayalam-language	MALAYALAM LANGUAGE
malaysia	MALAYSIA
malda	MALDA
maldhari	MALDHARI
maldives	MALDIVES
male	MALE
malegaon	MALEGAON
malela	MALELA
malformed	MALFORMED
malgadh	MALGADH
malhotra	MALHOTRA
mali	MALI
malkangiri	MALKANGIRI
malkoha	MALKOHA
mallakhamba	MALLAKHAMBA
mallika	MALLIKA
mallikarjuna	MALLIKARJUNA
malnutrition	MALNUTRITION
malpur	MALPUR
malta	MALTA
malva	MALVA
malvi	MALVI
malwan	MALWAN
mamallapuram	MAMALLAPURAM
mamit	MAMIT
mamluk	MAMLUK
mammals	MAMMALS
mammootty	MAMMOOTTY
mamta	MAMTA
mamuara	MAMUARA
man	MAN
man-made	MAN MADE
mana	MANA
management	MANAGEMENT
managers	MANAGERS
manali	MANALI
manali,	MANALI,
manang	MANANG
manas	MANA +(s)
manasarovar	MANA SAROVAR
manav	MANAV
manavadar	MANAVADAR
manchester	MANCHESTER
manda,	MANDA,
mandal	MANDAL
mandal,	MANDAL,
mandapeshwar	MANDAPESHWAR
