!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
embassy	em@@ bas@@ s@@ y
emergency-bot-shutoff	em@@ er@@ g@@ enc@@ y@@ -@@ bot@@ -@@ sh@@ u@@ to@@ f@@ f
emijrp/list	em@@ i@@ j@@ r@@ p@@ /@@ list
empire	emp@@ ire
empty	emp@@ t@@ y
emptyor	emp@@ t@@ y@@ or
en	en
en-2	en@@ -@@ 2
en-3	en@@ -@@ 3
en-4	en@@ -@@ 4
en-gb	en@@ -@@ g@@ b
en-in	en@@ -@@ in
en-n	en@@ -@@ n
en-us-4	en@@ -@@ us@@ -@@ 4
encode	en@@ code
encyclopaedia	enc@@ y@@ c@@ lo@@ p@@ a@@ e@@ dia
encyclopedia	enc@@ y@@ c@@ lo@@ p@@ e@@ dia
encyclopædia	enc@@ y@@ c@@ lo@@ p@@ æ@@ dia
end	end
endflowlist	end@@ f@@ lo@@ w@@ list
endswith	end@@ s@@ with
eng	en@@ g
engels	en@@ ge@@ l@@ s
english	eng@@ lis@@ h
ensure	en@@ s@@ ure
entity	ent@@ it@@ y
entries	ent@@ ri@@ es
entry	e@@ ntry
enum	en@@ u@@ m
eo	e@@ o
episode	e@@ p@@ iso@@ de
eritrea	er@@ it@@ re@@ a
erkan	er@@ k@@ an
error	error
error-small	error@@ -@@ s@@ mal@@ l
errors	error ⧺s
errors:	er@@ r@@ or@@ s@@ :
es	es
es-1	es@@ -@@ 1
escarbot	es@@ car@@ bot
estimation	e@@ st@@ im@@ ation
estonian	e@@ st@@ on@@ ian
ethics	eth@@ ic@@ s
ethiopia	eth@@ io@@ p@@ ia
ethiopian	eth@@ io@@ p@@ ian
ethiopic	eth@@ io@@ p@@ ic
ethnic	eth@@ n@@ ic
ethnologue16	eth@@ no@@ lo@@ gu@@ e@@ 1@@ 6
ethnologue19	eth@@ no@@ lo@@ gu@@ e@@ 1@@ 9
euindex	e@@ u@@ inde@@ x
eustatius	e@@ us@@ t@@ at@@ i@@ us
event	e@@ v@@ ent
example	ex@@ a@@ mp@@ le
exchange	ex@@ ch@@ an@@ ge
expand	ex@@ p@@ and
expiry	ex@@ p@@ i@@ ry
explanation	ex@@ p@@ lan@@ ation
external	ex@@ ter@@ nal
extinction	ex@@ t@@ in@@ ction
extract	ex@@ tra@@ ct
extract/in	ex@@ tra@@ ct@@ /@@ in
f1	f@@ 1
fa	f@@ a
facebook	fa@@ ce@@ book
factbook	fa@@ ct@@ book
fadesga	fa@@ des@@ g@@ a
failed	fa@@ i@@ le@@ d
failure	fa@@ il@@ ure
fair	fa@@ i@@ r
fajrbot	fa@@ j@@ r@@ bot
fake	f@@ ak@@ e
falkland	f@@ al@@ k@@ land
family	f@@ am@@ il@@ y
faroe	f@@ ar@@ o@@ e
faso	f@@ as@@ o
fb	f@@ b
fb-big	f@@ b@@ -@@ bi@@ g
federal	f@@ ed@@ er@@ al
federated	f@@ ed@@ er@@ ated
ffd	ff@@ d
fi	f@@ i
figures	fi@@ gu@@ re@@ s
figures/rnd	fi@@ gu@@ re@@ s/@@ r@@ n@@ d
file	fi@@ le
files	fi@@ le ⧺s
film	f@@ il@@ m
filter	f@@ il@@ ter
find0	f@@ in@@ d@@ 0
finland	f@@ in@@ land
fiorentina	f@@ io@@ re@@ nt@@ in@@ a
fire	f@@ ire
firibot	f@@ ir@@ i@@ bot
first	f@@ ir@@ st
flag	f@@ la@@ g
flag2	flag@@ 2
flagairforce	flag@@ a@@ ir@@ for@@ ce
flagbio	flag@@ bi@@ o
flagdeco	flag@@ de@@ c@@ o
flagdeco/core	flag@@ de@@ co@@ /core
flagicon	f@@ la@@ g@@ icon
flagicon/core	flag@@ i@@ con@@ /core
flagioc2	flag@@ io@@ c@@ 2
flagnavy	f@@ la@@ g@@ nav@@ y
flanders	f@@ land@@ ers
flat	f@@ la@@ t
flatlist/microformat	fl@@ at@@ lis@@ t/@@ m@@ ic@@ ro@@ for@@ ma@@ t
flemish	f@@ le@@ m@@ ish
flevoland	f@@ le@@ v@@ o@@ land
flood	f@@ lo@@ o@@ d
florida	f@@ lo@@ ri@@ d@@ a
flowlist	f@@ lo@@ w@@ list
fmbox	f@@ m@@ box
folk	fo@@ l@@ k
font	fo@@ nt
football	foot@@ b@@ all
footer	foo@@ ter
footer/tracking	foo@@ ter@@ /@@ tra@@ ck@@ ing
footnotes	foot@@ no@@ te@@ s
for	for
force	for@@ ce
format	for@@ ma@@ t
formatnum	for@@ m@@ at@@ n@@ u@@ m
former	for@@ m@@ er
fossil	fo@@ ss@@ il
foxbot	fo@@ x@@ bot
foxie001	fo@@ x@@ i@@ e@@ 0@@ 0@@ 1
fr	f@@ r
fr-n	f@@ r@@ -@@ n
fra	f@@ r@@ a
france	f@@ ran@@ ce
franchise	f@@ ran@@ ch@@ is@@ e
frank5308000	f@@ ran@@ k@@ 5@@ 3@@ 0@@ 8@@ 0@@ 0@@ 0
frankfurt	f@@ ran@@ k@@ f@@ ur@@ t
free	free
french-language	f@@ re@@ n@@ ch@@ -@@ language
friesland	f@@ ri@@ es@@ land
from	f@@ ro@@ m
front/meta/color	f@@ ro@@ nt@@ /meta/color
fullbasepagename	f@@ ul@@ l@@ bas@@ e@@ pag@@ en@@ am@@ e
fullrootpagename	f@@ ul@@ l@@ ro@@ o@@ t@@ pag@@ en@@ am@@ e
functions	f@@ un@@ ct@@ ion@@ s
gadget-wiked.js	g@@ ad@@ ge@@ t@@ -@@ wik@@ ed@@ .@@ j@@ s
gag	g@@ a@@ g
gain	g@@ ain
gallery	g@@ al@@ le@@ ry
gallery/aux	g@@ al@@ ler@@ y/@@ au@@ x
gambia	g@@ am@@ b@@ ia
game	g@@ am@@ e
gangleri	g@@ an@@ g@@ ler@@ i
gaps	g@@ ap@@ s
gaudio	g@@ au@@ di@@ o
gauge	g@@ au@@ ge
gauge/data	g@@ au@@ ge@@ /data
gauge/extra	g@@ au@@ ge@@ /@@ ex@@ tr@@ a
gbm4ibx	g@@ b@@ m@@ 4@@ ib@@ x
gbmappingsmall	g@@ b@@ map@@ p@@ ing@@ s@@ mal@@ l
gelderland	ge@@ l@@ d@@ er@@ land
general	g@@ en@@ er@@ al
geo-stub	ge@@ o@@ -@@ stub
geobox	geo@@ box
geobox2	geobox2
geogroup	geo@@ gro@@ up
geological	geo@@ log@@ ic@@ al
georgia	ge@@ or@@ g@@ ia
georgian	ge@@ or@@ g@@ ian
georgiaphysiology	ge@@ or@@ g@@ i@@ a@@ ph@@ y@@ s@@ io@@ log@@ y
geosouthasia	geo@@ so@@ u@@ th@@ as@@ ia
geotemplate	geo@@ template
geotemplate/lang	geo@@ templ@@ ate@@ /@@ lang
german-language	g@@ er@@ ma@@ n@@ -@@ language
germany	g@@ er@@ man@@ y
get	ge@@ t
gfdl	g@@ f@@ d@@ l
ghana	g@@ h@@ ana
gibraltar	g@@ ib@@ r@@ al@@ ta@@ r
gl	g@@ l
globals	g@@ lo@@ b@@ al@@ s
glottolink	g@@ lo@@ t@@ to@@ link
glottolog	g@@ lo@@ t@@ to@@ lo@@ g
gnu	g@@ n@@ u
gold	go@@ l@@ d
golfer	go@@ l@@ f@@ er
google	go@@ o@@ g@@ le
governing	go@@ ver@@ n@@ ing
government	go@@ ver@@ n@@ ment
gpl-lic	g@@ p@@ l@@ -@@ lic
grading	gra@@ d@@ ing
graph:pageviews	gra@@ ph@@ :@@ p@@ age@@ vie@@ w@@ s
grapheme	gra@@ ph@@ em@@ e
graphical	gra@@ ph@@ ic@@ al
great	gre@@ a@@ t
greater	gre@@ at@@ er
greece	gre@@ e@@ ce
grin	gr@@ in
groningen	gro@@ n@@ in@@ ge@@ n
ground	gro@@ un@@ d
group	gro@@ up
groups	gro@@ up ⧺s
groveonline	gro@@ v@@ e@@ on@@ line
gu	gu
gu-0	gu@@ -@@ 0
gu-1	gu@@ -@@ 1
gu-2	gu@@ -@@ 2
gu-3	gu@@ -@@ 3
gu-4	gu@@ -@@ 4
gu-n	gu@@ -@@ n
guam	gu@@ a@@ m
guanajuato	gu@@ an@@ a@@ j@@ u@@ at@@ o
guerrero	gu@@ er@@ r@@ er@@ o
guiana	gu@@ iana
guide	gu@@ i@@ de
gujarat-geo-stub	gu@@ j@@ ara@@ t@@ -@@ ge@@ o@@ -@@ stub
gujarati	gu@@ j@@ ar@@ at@@ i
gujlit	gu@@ j@@ l@@ it
guyana	gu@@ y@@ ana
gvp	g@@ v@@ p
hainaut	h@@ ain@@ au@@ t
hampshire	h@@ a@@ mp@@ sh@@ ire
handbook	hand@@ book
handler	hand@@ l@@ er
handler/blacklist	hand@@ ler@@ /@@ b@@ la@@ ck@@ list
handler/config	hand@@ ler@@ /config
handler/data	hand@@ ler@@ /data
handler/shared	hand@@ ler@@ /@@ sh@@ ar@@ ed
harald	har@@ al@@ d
harsh4101991	har@@ sh@@ 4@@ 1@@ 0@@ 19@@ 9@@ 1
harvard	har@@ v@@ ar@@ d
has	h@@ as
hatnote	h@@ at@@ note
hatnote-inline	h@@ at@@ note@@ -@@ inline
haveli	h@@ av@@ el@@ i
hawaii	h@@ a@@ wa@@ i@@ i
hcards	h@@ car@@ d ⧺s
header	header
headerbar	head@@ er@@ bar
heading	head@@ ing
heatcapacity	he@@ at@@ ca@@ p@@ a@@ cit@@ y
height	he@@ ight
help	he@@ l@@ p
helpbox	he@@ l@@ p@@ box
herald	her@@ al@@ d
herculebot	her@@ cu@@ le@@ bot
heritage	her@@ it@@ age
herodotus	her@@ o@@ do@@ t@@ us
hi	hi
hi-0	hi@@ -@@ 0
hi-1	hi@@ -@@ 1
hi-2	hi@@ -@@ 2
hi-3	hi@@ -@@ 3
hi-4	hi@@ -@@ 4
hi-n	hi@@ -@@ n
hidalgo	h@@ id@@ al@@ g@@ o
hidden	h@@ id@@ de@@ n
hide	h@@ i@@ de
high	h@@ ig@@ h
high-risk	h@@ ig@@ h@@ -@@ r@@ is@@ k
high-use	h@@ ig@@ h@@ -@@ use
highlight	h@@ igh@@ l@@ ight
highlight/core	h@@ igh@@ l@@ igh@@ t@@ /core
hiking	h@@ ik@@ ing
hind	h@@ in@@ d
hindu	h@@ in@@ d@@ u
historic	his@@ t@@ or@@ ic
history	his@@ to@@ ry
history/output	his@@ t@@ or@@ y/@@ o@@ ut@@ pu@@ t
hlist	h@@ list
hold	ho@@ l@@ d
holiday	ho@@ li@@ da@@ y
holiday/date	ho@@ li@@ da@@ y@@ /dat@@ e
holland	ho@@ l@@ land
hong	ho@@ n@@ g
horst	h@@ or@@ st
hotcat	ho@@ t@@ cat
how	ho@@ w
how-to	ho@@ w@@ -@@ to
hr	h@@ r
hsb	h@@ s@@ b
htmlbuilder	h@@ t@@ m@@ l@@ bu@@ il@@ d@@ er
hu	h@@ u
hugo.arg	hu@@ go@@ .@@ ar@@ g
hungary	h@@ un@@ g@@ ary
i18n	i@@ 1@@ 8@@ n
iaaf	i@@ a@@ a@@ f
iafd	i@@ af@@ d
iast	i@@ ast
icd10	ic@@ d@@ 1@@ 0
icd9	ic@@ d@@ 9
ice	ice
iceland	ic@@ e@@ land
ices2csharp	ic@@ es@@ 2@@ c@@ sh@@ ar@@ p
icon	icon
icon/data	i@@ con@@ /data
icon2	i@@ con@@ 2
id	id
idaho	i@@ da@@ h@@ o
idioma-bot	id@@ io@@ m@@ a@@ -@@ bot
idw	id@@ w
iem4ibx	i@@ em@@ 4@@ ib@@ x
if	i@@ f
ifarticle	if@@ article
ifnotempty	if@@ no@@ temp@@ t@@ y
ifsubst	if@@ sub@@ st
illinois	il@@ lin@@ o@@ is
image	image
images	image ⧺s
imdb	im@@ d@@ b
importance	imp@@ ort@@ an@@ ce
importance/entry	imp@@ ort@@ an@@ ce@@ /@@ e@@ ntry
importance/icon	imp@@ ort@@ an@@ ce@@ /@@ icon
importance/row	imp@@ ort@@ an@@ ce@@ /@@ ro@@ w
improve	imp@@ ro@@ v@@ e
in	in
inc.	in@@ c@@ .
incorporating	in@@ co@@ r@@ por@@ at@@ ing
incorrect	in@@ co@@ r@@ rect
increasenegative	in@@ c@@ re@@ as@@ ene@@ g@@ at@@ ive
ind	in@@ d
independent	inde@@ p@@ end@@ ent
index	inde@@ x
index/getchar	inde@@ x@@ /@@ ge@@ t@@ ch@@ ar
india	india
india/meta/color	indi@@ a/@@ meta/color
indian	indian
indiana	indi@@ ana
indies	indi@@ es
indo-pakistani	in@@ d@@ o@@ -@@ p@@ ak@@ is@@ t@@ an@@ i
indonesia	in@@ do@@ ne@@ s@@ ia
info	in@@ f@@ o
infobox	infobox
infobox3cols	info@@ box@@ 3@@ col@@ s
infoboximage	infobox@@ image
inline	inline
inr	in@@ r
inrconvert	in@@ r@@ conver@@ t
inrconvert/currentrate	in@@ r@@ convert/@@ cur@@ re@@ nt@@ r@@ ate
insomnia	in@@ so@@ m@@ nia
installation	in@@ st@@ all@@ ation
instrument	in@@ str@@ u@@ ment
instrument/classification	in@@ str@@ u@@ ment@@ /@@ clas@@ si@@ f@@ ic@@ ation
instrument/color	in@@ str@@ u@@ ment@@ /color
integrity	in@@ te@@ g@@ rit@@ y
internal	inter@@ nal
international	inter@@ n@@ at@@ io@@ nal
internet	inter@@ ne@@ t
interview	inter@@ vie@@ w
intricate	in@@ tr@@ ic@@ ate
intro	in@@ tr@@ o
invalid	in@@ v@@ ali@@ d
io	i@@ o
iowa	io@@ w@@ a
ip	i@@ p
ipa	ipa
ipa-all	ipa@@ -@@ all
ipa-fa	ipa@@ -@@ f@@ a
ipa-hns	ipa@@ -@@ h@@ n@@ s
ipa-ml	ipa@@ -@@ m@@ l
ipa-sa	ipa@@ -@@ s@@ a
ipa-sh	ipa@@ -@@ s@@ h
ipablink	ipa@@ b@@ link
ipac-en	ipac@@ -@@ en
ipac-en/data	ipac@@ -@@ en@@ /data
ipac-en/phonemes	ipac@@ -@@ en@@ /@@ p@@ ho@@ ne@@ me@@ s
ipac-en/pronunciation	ipac@@ -@@ en@@ /@@ pro@@ n@@ un@@ ci@@ ation
ipac-ro/pronunciation	ipac@@ -@@ ro@@ /@@ pro@@ n@@ un@@ ci@@ ation
ipaeng	ipa@@ en@@ g
ipaslink	ip@@ as@@ link
ipv4	ip@@ v@@ 4
iran	i@@ ra@@ n
iraq	i@@ ra@@ q
irc	ir@@ c
ireland	ireland
irish	ir@@ ish
irvin	ir@@ v@@ in
is	is
isbn	is@@ b@@ n
isbnt	is@@ b@@ nt
island	island
islands	island ⧺s
islands/area	is@@ land@@ s/@@ ar@@ e@@ a
islands/density	is@@ land@@ s/@@ d@@ en@@ sity
islands/length	is@@ land@@ s/@@ l@@ eng@@ th
iso	iso
isodate	iso@@ date
israel	is@@ ra@@ el
issues	is@@ su@@ es
isvalidpagename	is@@ v@@ ali@@ d@@ pag@@ en@@ am@@ e
isxn	is@@ x@@ n
it	it
italic	it@@ al@@ ic
italy	it@@ al@@ y
item	it@@ em
itis	it@@ is
iucn	i@@ u@@ c@@ n
iucn2009.2	i@@ u@@ c@@ n@@ 2@@ 0@@ 0@@ 9@@ .@@ 2
iucn2012.2	i@@ u@@ c@@ n@@ 2@@ 0@@ 1@@ 2@@ .@@ 2
ivory	iv@@ o@@ ry
ja	j@@ a
jain	j@@ ain
jalisco	j@@ al@@ is@@ c@@ o
jammu	j@@ am@@ m@@ u
jan	j@@ an
janata	janata
jandbot	j@@ and@@ bot
janwo	jan@@ w@@ o
japan	j@@ ap@@ an
japanese-language	j@@ ap@@ an@@ es@@ e@@ -@@ language
jct/city	j@@ ct@@ /@@ cit@@ y
jersey	j@@ er@@ se@@ y
jfblanc	j@@ f@@ b@@ lan@@ c
jhsbot	j@@ h@@ s@@ bot
jiggythakor	j@@ ig@@ g@@ y@@ th@@ ak@@ or
jnanpith	j@@ n@@ an@@ p@@ it@@ h
jon	j@@ on
jordan	j@@ or@@ d@@ an
jorunn	j@@ or@@ un@@ n
jose77	j@@ o@@ se@@ 7@@ 7
josé	j@@ o@@ s@@ é
journal	j@@ o@@ ur@@ nal
jsoby	j@@ so@@ by
jstor/userbox	j@@ st@@ or@@ /@@ userbox
junafani	j@@ u@@ na@@ f@@ an@@ i
jurisdiction	j@@ ur@@ is@@ d@@ ic@@ t@@ ion
jybot	j@@ y@@ bot
jøma	j@@ ø@@ m@@ a
ka	k@@ a
kalmar	k@@ al@@ ma@@ r
kamgar	k@@ am@@ g@@ ar
kanesue	k@@ an@@ e@@ su@@ e
kanjy	k@@ an@@ j@@ y
kansas	k@@ ans@@ as
karnataka	k@@ arn@@ at@@ ak@@ a
kashmir	k@@ as@@ h@@ m@@ i@@ r
kasirbot	k@@ as@@ ir@@ bot
kazakh	k@@ az@@ ak@@ h
kazakhstan	k@@ az@@ ak@@ h@@ st@@ an
kazhagam/meta/color	k@@ az@@ h@@ ag@@ am@@ /meta/color
kedar	ke@@ d@@ ar
kelovy	ke@@ lo@@ v@@ y
kentucky	ke@@ nt@@ u@@ ck@@ y
kenya	k@@ en@@ y@@ a
kg	k@@ g
khan	k@@ h@@ an
khanbot	k@@ h@@ an@@ bot
kharan	k@@ har@@ an
khmer-language	k@@ h@@ m@@ er@@ -@@ language
kia	k@@ ia
kindness	k@@ in@@ d@@ ne@@ s@@ s
kingdom	kingdom
kirghiz	k@@ ir@@ g@@ h@@ i@@ z
kisan	k@@ is@@ an
kit	k@@ it
km	k@@ m
kn	k@@ n
ko	k@@ o
koavf	ko@@ av@@ f
kolega2357	ko@@ leg@@ a@@ 2@@ 3@@ 5@@ 7
kolibrios	ko@@ l@@ ib@@ r@@ io@@ s
kolkata	ko@@ l@@ k@@ ata
kondicherry	ko@@ n@@ d@@ ic@@ her@@ ry
kong	ko@@ n@@ g
konkan	ko@@ n@@ k@@ an
korea	kore@@ a
korean	kore@@ an
kutchkutch	k@@ ut@@ ch@@ k@@ ut@@ ch
kuwait	k@@ u@@ wa@@ it
kyrgyzstan	k@@ y@@ r@@ g@@ y@@ z@@ st@@ an
la	l@@ a
label	la@@ bel
labelled	la@@ be@@ l@@ le@@ d
labrador	la@@ bra@@ do@@ r
lang	lang
lang-ab	lang@@ -@@ a@@ b
lang-am	lang@@ -@@ a@@ m
lang-ar	lang@@ -@@ ar
lang-az	lang@@ -@@ a@@ z
lang-bo	lang@@ -@@ b@@ o
lang-de	lang@@ -@@ de
lang-dv	lang@@ -@@ d@@ v
lang-el	lang@@ -@@ el
lang-en	lang@@ -@@ en
lang-es	lang@@ -@@ es
lang-fa	lang@@ -@@ f@@ a
lang-fi	lang@@ -@@ f@@ i
lang-fil	lang@@ -@@ fi@@ l
lang-fr	lang@@ -@@ f@@ r
lang-grc-gre	lang@@ -@@ gr@@ c@@ -@@ g@@ re
lang-gu	lang@@ -@@ gu
lang-he	lang@@ -@@ h@@ e
lang-hi	lang@@ -@@ hi
lang-hy	lang@@ -@@ h@@ y
lang-id	lang@@ -@@ id
lang-ja	lang@@ -@@ j@@ a
lang-km	lang@@ -@@ k@@ m
lang-kn	lang@@ -@@ k@@ n
lang-ky	lang@@ -@@ k@@ y
lang-la	lang@@ -@@ l@@ a
lang-lo	lang@@ -@@ l@@ o
lang-ml	lang@@ -@@ m@@ l
lang-mr	lang@@ -@@ m@@ r
lang-my	lang@@ -@@ my
lang-ne	lang@@ -@@ n@@ e
lang-nl	lang@@ -@@ n@@ l
lang-or	lang@@ -@@ or
lang-pa	lang@@ -@@ p@@ a
lang-ps	lang@@ -@@ p@@ s
lang-rn	lang@@ -@@ r@@ n
lang-rom	lang@@ -@@ ro@@ m
lang-ru	lang@@ -@@ r@@ u
lang-rw	lang@@ -@@ r@@ w
lang-sa	lang@@ -@@ s@@ a
lang-sd	lang@@ -@@ s@@ d
lang-se	lang@@ -@@ se
lang-si	lang@@ -@@ s@@ i
lang-sw	lang@@ -@@ s@@ w
lang-ta	lang@@ -@@ ta
lang-te	lang@@ -@@ te
lang-tg	lang@@ -@@ t@@ g
lang-th	lang@@ -@@ th
lang-tk	lang@@ -@@ t@@ k
lang-tr	lang@@ -@@ t@@ r
lang-ur	lang@@ -@@ ur
lang-uz	lang@@ -@@ u@@ z
lang-yi	lang@@ -@@ y@@ i
lang-zh	lang@@ -@@ z@@ h
lang/data	lan@@ g@@ /data
lang/documentor	lan@@ g@@ /@@ document@@ or
lang/iso	lan@@ g@@ /@@ iso
language	language
language/codelist	language@@ /co@@ de@@ list
language/data/iana	language/data/@@ iana
language/data/iso	language/data/@@ iso
language/data/wp	language/data/@@ w@@ p
language/family-color	language/@@ f@@ am@@ il@@ y@@ -@@ color
language/genetic	language/@@ g@@ ene@@ t@@ ic
language/language	language/@@ language
language/linguistlist	language/@@ lin@@ gu@@ is@@ t@@ list
language/name/data	language/@@ name@@ /data
language/notes	language/@@ no@@ te@@ s
language/quilt	language/@@ qu@@ il@@ t
language/ref	language/@@ re@@ f
languages	language ⧺s
lanka	lan@@ k@@ a
laos	la@@ o@@ s
larger	l@@ ar@@ g@@ er
lasius	l@@ as@@ i@@ us
latin-language	l@@ at@@ in@@ -@@ language
latvia	l@@ at@@ v@@ ia
latvian	l@@ at@@ vi@@ an
law	la@@ w
layout	la@@ y@@ o@@ ut
lead	le@@ ad
least	le@@ ast
leave	le@@ av@@ e
lebanon	le@@ ban@@ on
left	le@@ f@@ t
left/coast	le@@ f@@ t@@ /co@@ ast
legend	leg@@ end
legend0	leg@@ end@@ 0
legislature	leg@@ is@@ l@@ at@@ ure
leinster	le@@ in@@ st@@ er
len	le@@ n
len/core	l@@ en@@ /core
lesotho	le@@ so@@ th@@ o
lethal	le@@ th@@ al
letter/trim	le@@ tt@@ er@@ /@@ tr@@ i@@ m
level	le@@ v@@ el
león	le@@ ó@@ n
li	l@@ i
liberia	l@@ ib@@ er@@ ia
libya	l@@ ib@@ y@@ a
license	l@@ ic@@ en@@ se
liechtenstein	li@@ e@@ ch@@ te@@ n@@ st@@ e@@ in
limburg	l@@ im@@ b@@ ur@@ g
limit	l@@ im@@ it
limited	l@@ im@@ ited
line	line
lines	line ⧺s
link	link
link/core	link@@ /core
link/normal	link@@ /@@ nor@@ ma@@ l
link/relative	link@@ /@@ re@@ l@@ at@@ ive
link/secure	link@@ /@@ se@@ c@@ ure
link/text	link@@ /@@ text
links	link ⧺s
linktext	link@@ text
list	list
list-style-type	list@@ -@@ style@@ -@@ type
list/entry	lis@@ t/@@ e@@ ntry
listen	lis@@ te@@ n
listing	lis@@ t@@ ing
lists	list ⧺s
lithuania	l@@ it@@ hu@@ an@@ ia
lithuanian	l@@ it@@ hu@@ an@@ ian
lixer	li@@ x@@ er
liège	li@@ è@@ ge
location	location
logicwiki	log@@ ic@@ wiki
logo	log@@ o
logo.png	lo@@ go@@ .@@ p@@ n@@ g
logos	log@@ o ⧺s
logp	log@@ p
london	lo@@ n@@ do@@ n
long	lo@@ n@@ g
longitem	lo@@ n@@ g@@ it@@ em
longlisted	lo@@ n@@ g@@ lis@@ ted
lookup	lo@@ o@@ k@@ up
loop	lo@@ o@@ p
lordship	lo@@ r@@ d@@ sh@@ i@@ p
loremipsum	lo@@ re@@ m@@ ip@@ su@@ m
louisiana	lo@@ u@@ is@@ iana
lovysinghal	lo@@ v@@ y@@ s@@ ing@@ h@@ al
lower	lo@@ w@@ er
lowercase	lo@@ w@@ er@@ c@@ as@@ e
lt	l@@ t
lua	lu@@ a
luckas-bot	lu@@ ck@@ as@@ -@@ bot
lucpol	lu@@ c@@ po@@ l
luis	lu@@ is
luxembourg	lu@@ x@@ em@@ bo@@ ur@@ g
lv	l@@ v
lx	l@@ x
lytov	l@@ y@@ to@@ v
lzh	l@@ z@@ h
mabifixem	ma@@ bi@@ fi@@ x@@ em
macau	ma@@ ca@@ u
macedonia	ma@@ ce@@ do@@ nia
madagascar	ma@@ d@@ ag@@ as@@ c@@ ar
madeira	ma@@ de@@ ir@@ a
magazine	m@@ ag@@ az@@ in@@ e
magic	m@@ ag@@ ic
magnitude	m@@ ag@@ n@@ it@@ u@@ de
mahdibot	ma@@ h@@ di@@ bot
main	main
maine	main@@ e
maintenance	main@@ te@@ n@@ an@@ ce
maio	ma@@ i@@ o
makecat	ma@@ ke@@ cat
mala	mal@@ a
malawi	mal@@ a@@ w@@ i
malayalam-language	mal@@ a@@ y@@ al@@ a@@ m@@ -@@ language
malaysia	mal@@ a@@ y@@ s@@ ia
maldives	mal@@ di@@ v@@ es
malformed	mal@@ for@@ me@@ d
mali	mal@@ i
malta	mal@@ ta
managers	man@@ ag@@ ers
manitoba	man@@ it@@ o@@ b@@ a
manubot	man@@ u@@ bot
manumg	man@@ um@@ g
map	map
map+	map@@ +
map/data	map@@ /data
map/data/afghanistan	map/data/@@ af@@ g@@ h@@ an@@ is@@ tan
map/data/africa	map/data/@@ af@@ ric@@ a
map/data/bolivia	map/data/@@ bo@@ l@@ iv@@ ia
map/data/cambodia	map/data/@@ c@@ am@@ bo@@ dia
map/data/canada	map/data/@@ can@@ ada
map/data/earth	map/data/@@ e@@ art@@ h
map/data/france	map/data/@@ f@@ ran@@ ce
map/data/india	map/data/@@ india
map/data/karnataka	map/data/@@ k@@ arn@@ at@@ ak@@ a
map/data/mali	map/data/@@ mal@@ i
map/data/nepal	map/data/@@ ne@@ p@@ al
map/data/nevada	map/data/@@ ne@@ v@@ ada
map/data/norway	map/data/@@ nor@@ way
map/data/usa	map/data/@@ us@@ a
map/decdeg	map@@ /@@ de@@ c@@ de@@ g
map/info	map@@ /@@ in@@ f@@ o
map/mapname	map@@ /@@ map@@ name
map/multi	map@@ /@@ mult@@ i
mapbox	map@@ box
mapframe	map@@ fra@@ me
mapframe/wikidata	map@@ fra@@ me@@ /@@ wikidata
maplink	map@@ link
maps	map ⧺s
map~	map@@ ~
maratha	mar@@ ath@@ a
marathi-language	mar@@ ath@@ i@@ -@@ language
marek69	mar@@ e@@ k@@ 6@@ 9
mariana	mar@@ iana
markahershberger	mar@@ k@@ a@@ her@@ sh@@ ber@@ g@@ er
marked	mar@@ k@@ ed
markup	mar@@ k@@ up
marriage	mar@@ ri@@ age
marshall	mar@@ sh@@ all
maryland	mar@@ y@@ land
massachusetts	ma@@ ss@@ a@@ ch@@ us@@ e@@ tt@@ s
masti	ma@@ st@@ i
matches	m@@ at@@ ch@@ es
math	m@@ at@@ h
mauritania	ma@@ ur@@ it@@ an@@ ia
mauritius	ma@@ ur@@ it@@ i@@ us
maxval	ma@@ x@@ v@@ al
mbox	m@@ box
mdy	m@@ d@@ y
medal	medal
medalbottom	medal@@ bot@@ to@@ m
medalbronze	med@@ al@@ b@@ ro@@ n@@ z@@ e
medalcompetition	medal@@ co@@ mp@@ e@@ tit@@ ion
medalcountry	medal@@ country
medalgold	medal@@ go@@ l@@ d
medalsilver	med@@ al@@ s@@ il@@ v@@ er
medalsport	medal@@ sp@@ ort
medaltabletop	med@@ al@@ ta@@ b@@ le@@ to@@ p
media	me@@ dia
meetup	me@@ e@@ t@@ up
meneerke	me@@ ne@@ er@@ k@@ e
menobot	me@@ no@@ bot
mercy	m@@ er@@ c@@ y
merge	m@@ er@@ ge
merriamwebsterdictionary	m@@ er@@ ri@@ am@@ we@@ b@@ st@@ er@@ d@@ ic@@ t@@ io@@ na@@ ry
message	me@@ ss@@ age
messages	me@@ ss@@ age ⧺s
metalgearliquid	me@@ t@@ al@@ ge@@ ar@@ li@@ qu@@ id
mexican	me@@ x@@ ic@@ an
mexico	me@@ x@@ ic@@ o
mg	m@@ g
michigan	m@@ ic@@ h@@ ig@@ an
michoacán	m@@ ic@@ ho@@ ac@@ á@@ n
microformat	m@@ ic@@ ro@@ for@@ ma@@ t
microformats	m@@ ic@@ ro@@ for@@ ma@@ t ⧺s
micronesia	m@@ ic@@ ro@@ ne@@ s@@ ia
